
"103年01月 07日  個股日本益比、殖利率及股價淨值比 (依證券代碼排序查詢)"
"證券代號證券名稱本益比殖利率(%)股價淨值比"
"1904","正隆","12.79","4.15","0.86"
"1905","華紙","-","0.00","0.69"
"1906","寶隆","468.50","0.00","0.72"
"1907","永豐餘","45.45","2.67","0.78"
"1909","榮成","11.09","2.71","0.89"
"2002","中鋼","27.42","1.92","1.39"
"2006","東鋼","13.92","4.78","1.20"
"2007","燁興","-","0.00","0.88"
"2008","高興昌","1.23","0.00","1.09"
"2009","第一銅","37.50","0.00","0.96"
"2010","春源","18.83","4.42","0.70"
"2012","春雨","-","0.00","0.85"
"2013","中鋼構","12.72","6.03","1.53"
"2014","中鴻","-","0.00","1.44"
"2015","豐興","22.49","4.69","2.01"
"2017","官田鋼","-","0.00","0.67"
"2020","美亞","19.04","1.44","1.01"
"2022","聚亨","-","0.00","0.60"
"2023","燁輝","40.08","0.00","0.62"
"2024","志聯","123.17","0.00","0.74"
"2025","千興","-","0.00","0.66"
"2027","大成鋼","46.50","1.43","1.08"
"2028","威致","-","0.00","0.67"
"2029","盛餘","14.97","1.54","0.92"
"2030","彰源","-","0.00","0.83"
"2031","新光鋼","60.47","2.53","1.02"
"2032","新鋼","44.80","0.00","0.89"
"2033","佳大","261.25","6.70","0.92"
"2034","允強","14.51","3.13","1.24"
"2038","海光","-","2.95","0.57"
"2049","上銀","41.03","1.16","6.28"
"2059","川湖","24.11","1.75","5.94"
"2062","橋椿","17.97","2.42","2.90"
"2101","南港","203.33","0.00","2.73"
"2102","泰豐","15.83","2.53","1.07"
"2103","台橡","18.67","5.80","2.32"
"2104","中橡","18.09","7.75","0.89"
"2105","正新","13.70","3.82","3.47"
"2106","建大","15.81","3.04","3.31"
"2107","厚生","7.55","6.24","1.40"
"2108","南帝","21.98","5.00","1.42"
"2109","華豐","60.78","0.00","2.35"
"2114","鑫永銓","11.00","6.23","2.70"
"2115","F-六暉","27.82","2.43","1.97"
"2201","裕隆","28.02","1.49","1.24"
"2204","中華","21.29","3.11","0.88"
"2206","三陽","-","0.97","2.84"
"2207","和泰車","27.52","2.44","6.47"
"2208","台船","28.62","4.05","1.09"
"2227","裕日車","20.97","3.13","5.68"
"2228","劍麟","23.85","1.92","4.42"
"2231","為升","25.15","3.08","6.44"
"2301","光寶科","12.61","5.10","1.55"
"2302","麗正","-","0.00","0.55"
"2303","聯電","12.12","3.17","0.76"
"2305","全友","-","0.00","0.70"
"2308","台達電","23.81","3.22","4.67"
"2311","日月光","13.74","3.88","1.76"
"2312","金寶","-","0.83","1.20"
"2313","華通","14.31","2.69","1.37"
"2314","台揚","-","0.00","2.35"
"2316","楠梓電","13.59","1.46","0.70"
"2317","鴻海","10.26","3.16","1.45"
"2321","東訊","-","0.00","6.65"
"2323","中環","-","0.00","0.43"
"2324","仁寶","69.53","4.49","0.94"
"2325","矽品","21.47","4.57","1.85"
"2327","國巨","16.86","0.00","0.64"
"2328","廣宇","35.38","1.74","1.18"
"2329","華泰","-","0.00","1.01"
"2330","台積電","14.31","2.93","3.29"
"2331","精英","11.13","2.90","0.82"
"2332","友訊","19.20","5.21","0.90"
"2337","旺宏","-","0.00","0.83"
"2338","光罩","163.33","3.78","0.61"
"2340","光磊","20.07","3.20","1.07"
"2342","茂矽","-","0.00","0.92"
"2344","華邦電","-","0.00","0.87"
"2345","智邦","14.12","9.25","1.24"
"2347","聯強","14.54","4.11","1.87"
"2348","海悅","29.94","0.00","8.79"
"2349","錸德","-","0.00","0.61"
"2351","順德","20.94","2.24","2.00"
"2352","佳世達","-","0.00","0.79"
"2353","宏碁","-","0.00","0.80"
"2354","鴻準","11.84","2.17","1.36"
"2355","敬鵬","12.45","4.33","1.59"
"2356","英業達","16.03","3.02","1.80"
"2357","華碩","9.27","7.10","1.57"
"2358","美格","-","0.00","1.16"
"2359","所羅門","-","0.00","0.60"
"2360","致茂","21.73","3.12","2.94"
"2361","鴻友","-","0.00","0.89"
"2362","藍天","14.29","3.06","3.48"
"2363","矽統","-","0.00","0.74"
"2364","倫飛","-","0.00","0.71"
"2365","昆盈","62.00","1.53","0.82"
"2367","燿華","-","0.00","0.74"
"2368","金像電","-","0.00","0.65"
"2369","菱生","18.68","4.18","1.02"
"2371","大同","-","0.00","0.58"
"2373","震旦行","16.12","4.72","3.06"
"2374","佳能","13.77","11.58","0.89"
"2375","智寶","12.52","0.00","1.00"
"2376","技嘉","11.00","5.24","1.12"
"2377","微星","14.39","4.42","0.94"
"2379","瑞昱","14.39","4.36","2.17"
"2380","虹光","-","0.00","0.67"
"2382","廣達","14.36","5.74","2.27"
"2383","台光電","9.16","6.86","1.23"
"2384","勝華","-","0.00","0.63"
"2385","群光","12.34","5.49","2.61"
"2387","精元","44.63","1.24","0.62"
"2388","威盛","-","0.00","4.30"
"2390","云辰","33.70","0.00","1.46"
"2392","正崴","11.09","4.16","1.26"
"2393","億光","29.00","1.59","2.19"
"2395","研華","29.57","2.39","6.48"
"2397","友通","16.31","4.16","1.48"
"2399","映泰","25.88","3.79","0.92"
"2401","凌陽","-","0.00","0.81"
"2402","毅嘉","16.97","3.13","0.83"
"2404","漢唐","8.63","4.69","1.79"
"2405","浩鑫","11.57","3.76","1.14"
"2406","國碩","-","0.00","2.26"
"2408","南科","-","0.00","21.42"
"2409","友達","-","0.00","0.56"
"2412","中華電","18.13","5.81","2.03"
"2413","環科","85.38","0.00","0.79"
"2414","精技","14.19","7.72","1.03"
"2415","錩新","6.88","9.21","0.94"
"2417","圓剛","-","3.01","0.75"
"2419","仲琦","16.12","7.59","1.22"
"2420","新巨","15.25","5.01","2.57"
"2421","建準","23.24","5.06","1.39"
"2423","固緯","21.15","5.43","1.24"
"2424","隴華","47.70","0.00","3.59"
"2425","承啟","13.51","1.37","3.24"
"2426","鼎元","-","0.00","1.00"
"2427","三商電","-","0.00","0.81"
"2428","興勤","11.57","4.68","1.47"
"2429","銘旺科","-","0.00","1.08"
"2430","燦坤","12.26","4.88","1.55"
"2431","聯昌","261.25","0.00","1.57"
"2433","互盛電","9.19","4.89","1.80"
"2434","統懋","-","0.00","1.12"
"2436","偉詮電","89.67","1.12","2.35"
"2437","旺詮","12.30","2.86","1.19"
"2438","英誌","-","0.00","0.67"
"2439","美律","35.35","1.65","5.73"
"2440","太空梭","-","0.00","1.33"
"2441","超豐","11.69","5.57","1.39"
"2442","新美齊","12.36","5.36","0.78"
"2443","新利虹","-","0.00","0.75"
"2444","友旺","-","0.00","0.93"
"2448","晶電","-","0.84","1.28"
"2449","京元電","13.10","5.37","1.14"
"2450","神腦","15.71","4.28","4.24"
"2451","創見","12.26","7.44","1.98"
"2453","凌群","18.76","2.75","1.09"
"2454","聯發科","23.60","2.15","3.03"
"2455","全新","16.24","8.14","2.19"
"2456","奇力新","17.12","0.61","1.54"
"2457","飛宏","23.81","5.00","0.95"
"2458","義隆","12.87","6.32","2.77"
"2459","敦吉","10.63","6.21","1.01"
"2460","建通","-","1.69","0.82"
"2461","光群雷","13.21","2.27","1.06"
"2462","良得電","13.58","9.16","1.45"
"2464","盟立","13.08","3.86","1.52"
"2465","麗臺","-","0.00","1.61"
"2466","冠西電","-","0.00","4.16"
"2467","志聖","10.92","7.23","1.24"
"2468","華經","44.23","0.87","0.77"
"2471","資通","20.35","7.44","1.37"
"2472","立隆電","14.49","2.72","1.53"
"2474","可成","9.78","3.08","2.11"
"2475","華映","-","0.00","0.76"
"2476","鉅祥","15.64","4.54","1.13"
"2477","美隆電","3.90","3.09","1.12"
"2478","大毅","46.62","2.21","0.83"
"2480","敦陽科","14.80","6.06","1.61"
"2481","強茂","-","0.00","0.80"
"2482","連宇","167.27","0.00","1.38"
"2483","百容","36.19","1.41","1.08"
"2484","希華","85.28","0.00","0.93"
"2485","兆赫","20.00","3.39","1.80"
"2486","一詮","43.40","2.45","1.07"
"2488","漢平","12.81","1.84","1.72"
"2489","瑞軒","12.10","12.54","1.14"
"2491","吉祥全","-","0.00","1.34"
"2492","華新科","-","0.00","0.42"
"2493","揚博","10.11","9.60","1.33"
"2495","普安","155.00","1.51","1.65"
"2496","卓越","46.87","0.00","2.27"
"2497","怡利電","27.60","0.95","4.30"
"2498","宏達電","-","1.53","1.41"
"2499","東貝","67.25","0.58","1.81"
"2501","國建","15.82","5.45","1.33"
"2504","國產","36.97","1.64","0.81"
"2505","國揚","5.67","6.67","1.68"
"2506","太設","20.40","0.98","0.71"
"2509","全坤建","8.83","4.09","1.03"
"2511","太子","34.90","8.96","1.30"
"2514","龍邦","13.22","1.06","1.63"
"2515","中工","66.92","1.49","0.69"
"2516","新建","-","6.69","0.64"
"2520","冠德","19.39","3.22","1.78"
"2524","京城","5.29","0.00","1.14"
"2527","宏璟","-","3.65","0.87"
"2528","皇普","-","0.00","1.64"
"2530","華建","298.75","1.26","1.03"
"2534","宏盛","-","4.18","1.56"
"2535","達欣工","7.13","7.51","1.35"
"2536","宏普","134.32","5.75","1.09"
"2537","聯上發","4.94","0.00","1.21"
"2538","基泰","7.87","7.66","1.28"
"2539","櫻花建","28.58","2.34","3.11"
"2540","愛山林","-","0.00","20.04"
"2542","興富發","4.51","4.99","1.72"
"2543","皇昌","22.60","0.00","0.94"
"2545","皇翔","7.65","14.76","1.56"
"2546","根基","8.97","6.23","0.80"
"2547","日勝生","2.18","4.25","1.29"
"2548","華固","4.90","6.51","1.67"
"2597","潤弘","9.17","3.07","1.95"
"2601","益航","-","1.26","0.82"
"2603","長榮","-","0.00","1.11"
"2605","新興","14.37","4.39","1.13"
"2606","裕民","39.31","4.89","1.82"
"2607","榮運","44.90","1.39","1.17"
"2608","大榮","25.47","2.39","3.07"
"2609","陽明","-","0.00","1.24"
"2610","華航","-","0.00","1.09"
"2611","志信","-","8.97","0.75"
"2612","中航","19.41","2.55","1.01"
"2613","中櫃","21.45","0.00","0.63"
"2614","東森","-","0.00","1.23"
"2615","萬海","26.40","5.32","1.13"
"2616","山隆","12.65","5.76","1.09"
"2617","台航","19.61","2.91","1.21"
"2618","長榮航","104.38","0.00","1.51"
"2637","F-慧洋","8.89","5.12","0.84"
"2642","宅配通","23.81","0.87","5.66"
"2701","萬企","23.28","3.56","0.93"
"2702","華園","35.77","4.30","1.60"
"2704","國賓","31.53","1.34","1.25"
"2705","六福","-","0.00","0.85"
"2706","第一店","21.33","3.70","1.08"
"2707","晶華","33.91","2.62","11.94"
"2712","遠雄來","37.11","1.68","2.14"
"2722","夏都","21.82","2.86","2.57"
"2723","F-美食","43.80","2.48","4.71"
"2727","王品","33.31","2.80","9.10"
"2731","雄獅","35.88","1.45","4.50"
"2801","彰銀","17.86","4.35","1.29"
"2809","京城銀","8.67","5.23","1.51"
"2812","台中銀","8.49","7.49","0.91"
"2816","旺旺保","8.87","0.00","1.54"
"2820","華票","11.70","6.84","0.76"
"2823","中壽","14.64","5.25","1.43"
"2832","台產","12.41","4.50","1.32"
"2833","台壽保","13.39","2.12","2.08"
"2834","臺企銀","15.34","4.42","0.82"
"2836","高雄銀","17.89","2.11","0.64"
"2837","萬泰銀","9.71","0.00","1.34"
"2838","聯邦銀","9.57","8.27","0.89"
"2841","台開","8.85","0.00","0.91"
"2845","遠東銀","9.57","5.83","1.02"
"2847","大眾銀","10.19","5.96","0.87"
"2849","安泰銀","7.35","4.00","1.04"
"2850","新產","8.59","4.99","1.16"
"2851","中再保","10.40","4.84","0.93"
"2852","第一保","8.26","7.63","1.25"
"2855","統一證","21.25","2.91","1.08"
"2856","元富證","23.30","3.12","0.79"
"2867","三商壽","16.30","2.90","1.18"
"2880","華南金","17.15","5.83","1.17"
"2881","富邦金","13.19","2.35","1.45"
"2882","國泰金","17.40","2.82","2.11"
"2883","開發金","19.21","1.99","0.84"
"2884","玉山金","13.75","6.57","1.36"
"2885","元大金","24.08","3.22","1.08"
"2886","兆豐金","12.86","4.45","1.31"
"2887","台新金","9.06","7.71","1.09"
"2888","新光金","9.24","2.80","0.98"
"2889","國票金","25.56","4.81","0.93"
"2890","永豐金","11.38","7.75","1.13"
"2891","中信金","12.30","7.03","1.57"
"2892","第一金","15.17","6.04","1.14"
"2901","欣欣","79.08","1.08","3.35"
"2903","遠百","18.32","3.87","1.42"
"2904","匯僑","11.19","9.85","1.90"
"2905","三商行","-","8.45","1.33"
"2906","高林","47.92","5.22","0.78"
"2908","特力","18.15","4.80","1.67"
"2910","統領","55.88","2.63","3.04"
"2911","麗嬰房","-","3.04","1.53"
"2912","統一超","26.94","2.41","9.33"
"2913","農林","14.39","0.00","1.36"
"2915","潤泰全","1.33","3.99","1.22"
"2923","F-鼎固","36.29","0.91","1.45"
"2929","F-淘帝","-","0.00","-"
"3002","歐格","22.88","3.36","0.93"
"3003","健和興","17.75","2.11","1.51"
"3004","豐達科","11.86","2.68","1.98"
"3005","神基","26.33","3.16","0.76"
"3006","晶豪科","23.01","1.65","1.59"
"3008","大立光","17.44","1.44","5.87"
"3010","華立","10.00","5.34","1.26"
"3011","今皓","-","0.93","0.79"
"3013","晟銘電","26.52","0.00","1.96"
"3014","聯陽","20.97","4.44","1.23"
"3015","全漢","14.24","6.82","1.13"
"3016","嘉晶","-","0.00","1.74"
"3017","奇鋐","38.36","0.95","1.04"
"3018","同開","-","3.15","1.27"
"3019","亞光","44.92","0.00","0.68"
"3021","鴻名","21.33","0.00","1.22"
"3022","威強電","15.38","3.85","2.30"
"3023","信邦","14.33","4.93","1.97"
"3024","憶聲","-","0.00","0.64"
"3025","星通","17.50","5.04","1.08"
"3026","禾伸堂","12.81","5.02","1.11"
"3027","盛達","102.11","0.72","1.20"
"3028","增你強","11.61","6.67","0.92"
"3029","零壹","36.27","4.01","1.45"
